Rank,Team,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM,Games_Won,Year
1,Villanova 1,36-4,33.76,127.8,94,68.7,-0.018,11.31,111.3,100,3.98,6,2018
2,Virginia 1,31-3,29.53,115.2,85.6,59.4,0.048,9.24,110,100.7,-0.08,0,2018
3,Duke 2,29-8,28.86,122.4,93.6,69.7,-0.034,10.6,110.4,99.8,4.09,3,2018
4,Cincinnati 2,31-5,26.6,113.4,86.8,64.5,-0.019,3.46,106.9,103.4,-4.21,1,2018
5,Purdue 2,30-7,26.27,122.7,96.4,67.2,0.006,9.02,109.1,100.1,0.69,2,2018
6,Michigan St. 3,30-5,25.41,119.2,93.8,67,0.038,6.64,108.6,101.9,-5.03,1,2018
7,Michigan 3,33-8,24.2,114.7,90.5,64.9,0.052,10.32,111.4,101.1,-4.83,5,2018
8,North Carolina 2,26-11,23.59,120.3,96.7,71.2,-0.011,13.26,111.6,98.3,7.58,1,2018
9,Kansas 1,31-8,23.49,120.9,97.4,68.8,0.076,12.41,111.7,99.3,3.55,4,2018
10,Gonzaga 4,32-5,23.03,118.1,95.1,69.4,0.009,1.57,106.4,104.8,3.12,2,2018
11,Texas Tech 3,27-10,22.59,113.3,90.8,66.7,-0.007,10.31,110.7,100.4,-5.24,3,2018
12,West Virginia 5,26-11,22.44,119.4,96.9,69.2,-0.014,10.59,109.9,99.3,-4.72,2,2018
13,Tennessee 3,26-9,22.27,114.6,92.4,66,0.019,11.01,111.2,100.2,7.1,1,2018
14,Clemson 5,25-10,21.65,114.2,92.6,66.1,-0.009,10.22,110.6,100.4,-1.91,2,2018
15,Xavier 1,29-6,21.51,120.1,98.6,70.5,0.091,9.35,109.9,100.6,1.84,1,2018
16,Ohio St. 5,25-9,21.16,116,94.9,67,0.02,8.75,109.8,101.1,0.26,1,2018
17,Kentucky 5,26-11,20.44,115.8,95.4,68.8,-0.008,10.91,110.8,99.8,4.67,2,2018
18,Houston 6,27-8,20.24,114.6,94.4,68.4,-0.015,3.9,106.6,102.7,-3.08,1,2018
20,Butler 10,21-14,19.05,116.2,97.2,67.6,-0.047,11.21,112,100.8,0.11,2,2018
21,Wichita St. 4,25-8,19.03,121,101.9,68.6,-0.026,5.13,107.3,102.2,1.55,0,2018
22,Florida 6,21-13,18.96,114.5,95.5,67.1,-0.059,10.74,110.2,99.5,4.57,1,2018
23,Auburn 4,26-8,18.69,115.4,96.7,72.6,0.034,7.52,108.8,101.3,-1.86,1,2018
24,TCU 6,21-12,18.47,119.7,101.2,68.6,-0.067,9.67,110.7,101,-0.82,0,2018
25,Nevada 7,29-8,18.39,120.2,101.8,69.4,-0.026,5.13,107,101.8,3.61,2,2018
26,Seton Hall 8,22-12,18.04,116.9,98.8,69.5,-0.028,10.12,110.5,100.4,0,1,2018
27,Florida St. 9,23-12,17.77,114.3,96.5,71.2,-0.029,9.27,109.6,100.3,-6.91,3,2018
